lecturer_id,lecturer_name,faculty_code,faculty_name,scopus_author_id,latest_snapshot_month,publication_count_total,citation_count_total,h_index,publication_delta_month,citation_delta_month,api_status,notes
FH_ZULFIQAR_BHISMA_PUTRA_ROZI_S_H_M_H,"ZULFIQAR BHISMA PUTRA ROZI, S.H., M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_ALI_MASKUR_S_AP_M_A_M_AP,"ALI MASKUR, S.AP., M.A., M.AP.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_DETHA_ALFRIAN_FAJRI_S_AB_M_M,"DETHA ALFRIAN FAJRI, S.AB., M.M.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_DRS_ROMULA_ADIONO_M_AP,"Drs. ROMULA ADIONO, M.AP.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_DR_EKO_NURHAJI_PURNOMO_S_PD_M_PD,"Dr. EKO NURHAJI PURNOMO, S.Pd., M.Pd.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_DR_IKE_WANUSMAWATIE_S_SOS_MAP,"Dr. IKE WANUSMAWATIE, S.Sos., MAP.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_DR_KHUROTIN_ANGGRAENI_S_PD_I_M_PD_I,"Dr. KHUROTIN ANGGRAENI, S.Pd.I., M.Pd.I.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_DR_RACHMA_PUTRI_KASIMBARA_S_PD_M_PD,"Dr. RACHMA PUTRI KASIMBARA, S.Pd., M.Pd.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_DR_TRISNAWATI_S_SOS_M_AP,"Dr.TRISNAWATI, S.Sos., M.AP.,",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_IKE_ARNI_NOVENTI_S_AP_M_AP,"IKE ARNI NOVENTI, S.AP., M.AP.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_IN_AMUL_WAFI_S_PDI_M_ED,"IN`AMUL WAFI, S.Pdi., M.Ed.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_LAYYIN_NAFISA_ARIFIN_B_B_A_M_SC,"LAYYIN NAFISA ARIFIN, B.B.A., M.Sc.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_MARTINA_PURWANING_DIAH_S_AP_M_AP,"MARTINA PURWANING DIAH, S.AP., M.AP.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_MOCH_FIKRIANSYAH_WICAKSONO_S_IIP_M_A,"MOCH. FIKRIANSYAH WICAKSONO, S.IIP., M.A.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_MUHAMAD_CAHYO_WIDYO_SULISTYO_S_E_MBA,"MUHAMAD CAHYO WIDYO SULISTYO, S.E., MBA.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_MUHAMMAD_IMAM_AKBAR_HAIRI_S_IP_M_IP_PH_D,"MUHAMMAD IMAM AKBAR HAIRI, S.IP., M.IP., Ph.D.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_MUHAMMAD_OKTO_ADHITAMA_S_AP_M_AP,"MUHAMMAD OKTO ADHITAMA, S.AP., M.AP.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_NOVA_ERLYASARI_S_E_M_SI,"NOVA ERLYASARI, S.E., M.Si.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_ONNI_MEIREZALDI_S_SOS_M_M,"ONNI MEIREZALDI, S.Sos., M.M.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_PROF_DR_DRS_KUSDI_DEA,"Prof. Dr. Drs. KUSDI, DEA.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_RENDRA_EKO_WISMANU_S_AP_M_AP,"RENDRA EKO WISMANU, S.AP., M.AP.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_RIZKI_FITRIA_DEWI_SE_M_A,"RIZKI FITRIA DEWI, SE., M.A.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_SAFARUDIN_HISYAM_TUALEKA_S_TR_KOM_M_A_B,"SAFARUDIN HISYAM TUALEKA, S.Tr.Kom., M.A.B.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_SRI_SULASMIYATI_S_SOS_M_AP,"SRI SULASMIYATI, S.Sos., M.AP.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_SUSILO_WATI_S_AP_M_AP,"SUSILO WATI, S.AP., M.AP.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_SYLFIA_RIZZANA_S_AP_M_AP,"SYLFIA RIZZANA, S.AP., M.AP.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_WINDA_FASHIHAH_S_PD_M_M,"WINDA FASHIHAH, S.Pd., M.M.",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIA_ZAKI_ALIF_RAMADHANI_S_PAR_M_PAR,"ZAKI ALIF RAMADHANI, S.Par., M.Par..",FIA,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_AGUS_BUDI_CAHYONO_S_PD_M_LT,"AGUS BUDI CAHYONO, S.Pd., M.Lt.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_AJI_PRASETYA_WAHYU_UTAMA_S_ANT_M_A,"AJI PRASETYA WAHYU UTAMA, S.Ant., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_ALIFFIA_RACHMAWATI_S_S_M_LI,"ALIFFIA RACHMAWATI, S.S., M.Li.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_ANANDYA_ASPRILLIA_S_S_M_A,"ANANDYA ASPRILLIA, S.S., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_ARCCI_TUSITA_S_S_M_HUM,"ARCCI TUSITA, S.S., M.Hum.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_ARIS_SISWANTI_S_S_M_PD,"ARIS SISWANTI, S.S., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_ARY_BUDIYANTO_S_S_M_A,"ARY BUDIYANTO, S.S., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_A_SYARIFUDDIN_ROHMAN_S_PD_M_PD,"A. SYARIFUDDIN ROHMAN, S.Pd., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_DEWI_PUSPITASARI_S_PD_M_HUM,"DEWI PUSPITASARI, S.Pd., M.Hum.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_DIAH_AYU_WULAN_S_S_M_PD,"DIAH AYU WULAN, S.S., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_DIAN_NOVITA_DEWI_S_PD_M_LI,"DIAN NOVITA DEWI, S.Pd., M.Li.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_DRA_ELISABETH_WOROBROTO_PURWANINGRUM_M_LI,"Dra. ELISABETH WOROBROTO PURWANINGRUM, M.Li.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_DR_AJI_SETYANTO_S_S_M_LITT,"Dr. AJI SETYANTO, S.S., M.Litt.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_DR_DANY_ARDHIAN_S_PD_M_HUM,"Dr. DANY ARDHIAN, S.Pd., M.Hum.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_DR_DRA_ISMI_PRIHANDARI_M_HUM,"Dr. Dra. ISMI PRIHANDARI, M.Hum.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_DR_DRA_ROOSI_RUSMAWATI_M_SI,"Dr. Dra. ROOSI RUSMAWATI, M.Si.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_DR_ENI_MAHARSI_S_S_M_A,"Dr. ENI MAHARSI, S.S., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_DR_HIPOLITUS_KRISTOFORUS_KEWUEL_S_AG_M_HUM,"Dr. HIPOLITUS KRISTOFORUS KEWUEL, S.Ag., M.Hum.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_DR_IDA_PUJI_LESTARI_S_PD_M_PD,"Dr. IDA PUJI LESTARI, S.Pd., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_DR_MOH_HASBULLAH_ISNAINI_S_PD_M_PD,"Dr. MOH. HASBULLAH ISNAINI , S.Pd., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_DR_NADYA_INDA_SYARTANTI_S_S_M_SI,"Dr. NADYA INDA SYARTANTI, S.S., M.Si.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_DR_SIGIT_PRAWOTO_S_PD_M_HUM,"Dr. SIGIT PRAWOTO, S.Pd., M.Hum.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_DR_ULFAH_SUTIYARTI_S_PD_M_PD,"Dr. ULFAH SUTIYARTI, S.Pd., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_DR_WAHYU_WIDODO_S_S_M_HUM,"Dr. WAHYU WIDODO, S.S., M.Hum.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_DYAH_EKO_HAPSARI_S_S_M_HUM,"DYAH EKO HAPSARI, S.S., M.Hum.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_EFRIZAL_S_S_M_A,"EFRIZAL, S.S., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_EKA_MARTHANTY_INDAH_LESTARI_S_S_M_SI,"EKA MARTHANTY INDAH LESTARI, S.S., M.Si.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_EMMA_RAHMAWATI_FATIMAH_S_S_M_A,"EMMA RAHMAWATI FATIMAH, S.S., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_ERI_SUSANTO_S_S_M_HUM,"ERI SUSANTO, S.S., M.Hum.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_ERWANDA_RESTI_CHAERUNNISA_S_S_M_A,"ERWANDA RESTI CHAERUNNISA, S.S., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_ESTHER_RISMA_PURBA_S_S_M_SI,"ESTHER RISMA PURBA, S.S., M.Si.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_FATIMAH_S_PD_M_APPL_LING,"FATIMAH, S.Pd., M.Appl.Ling.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_FATIMAH_S_S_M_HUM,"FATIMAH, S.S., M.Hum.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_FEBI_ARIANI_SARAGIH_S_PD_M_PD,"FEBI ARIANI SARAGIH, S.Pd., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_FEMI_EKA_RAHMAWATI_S_SN_M_PD,"FEMI EKA RAHMAWATI, S.Sn., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_FITRAHAYUNITISNA_S_S_M_PD,"FITRAHAYUNITISNA, S.S., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_FRANCISCUS_APRIWAN_S_ANT_M_A,"FRANCISCUS APRIWAN, S.Ant., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_FREDY_NUGROHO_SETIAWAN_S_S_M_HUM,"FREDY NUGROHO SETIAWAN, S.S., M.Hum.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_FRIELIA_DWI_ANDRIANI_S_S_M_A,"FRIELIA DWI ANDRIANI, S.S., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_GALIH_EDY_NUR_WIDYANINGSIH_B_ED_MTCSOL,"GALIH EDY NUR WIDYANINGSIH, B.Ed., MTCSOL.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_IRSYAD_MARTIAS_S_S_M_A_PH_D,"IRSYAD MARTIAS, S.S., M.A., Ph.D.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_ISMATUL_KHASANAH_M_PD_S_PD_M_ED_PH_D,"ISMATUL KHASANAH, M.Pd., S.Pd., M.Ed., Ph.D.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_ISTI_PURWANINGTYAS_S_S_M_PD,"ISTI PURWANINGTYAS, S.S., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_I_KADEK_YUDI_ASTAWAN_S_SN_M_SN,"I KADEK YUDI ASTAWAN, S.Sn., M.Sn.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_JAMILA_WIJAYANTI_S_S_M_PD,"JAMILA WIJAYANTI, S.S., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_JULIATI_S_S_M_HUM,"JULIATI, S.S., M.Hum.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_LAILAL_MUNA_FIRDAUS_MTCSOL,"LAILAL MUNA FIRDAUS, MTCSOL.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_LAILATUL_HUSNA_S_PD_M_PD,"LAILATUL HUSNA, S.Pd., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_LAILY_AMALIA_SAVITRI_S_S_M_SI,"LAILY AMALIA SAVITRI, S.S., M.Si.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_MACHRUS_ABADI_S_PD_M_PD,"MACHRUS ABADI, S.Pd., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_MANGGALA_ISMANTO_S_ANT_M_A,"MANGGALA ISMANTO, S.Ant., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_MAULFI_SYAIFUL_RIZAL_S_PD_M_PD,"MAULFI SYAIFUL RIZAL, S.Pd., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_MAYANG_ANGGRIAN_S_PD_M_PD,"MAYANG ANGGRIAN, S.Pd., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_MELANIA_SHINTA_HARENDIKA_S_PD_M_A,"MELANIA SHINTA HARENDIKA, S.Pd., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_MUHAMMAD_ROZIN_S_S_M_A,"MUHAMMAD ROZIN, S.S., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_MUH_FATONI_ROHMAN_S_PD_M_PD,"MUH. FATONI ROHMAN, S.Pd., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_NANANG_BUSTANUL_FAUZI_S_S_M_PD,"NANANG BUSTANUL FAUZI, S.S., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_NANANG_ENDRAYANTO_S_S_M_SC,"NANANG ENDRAYANTO, S.S., M.Sc.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_NINDYO_BUDI_KUMORO_S_ANT_M_A,"NINDYO BUDI KUMORO, S.Ant., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_NI_MADE_SAVITRI_S_S_M_A,"NI MADE SAVITRI , S.S., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_NUDYA_KUNTUM_KHOIREL_ABIDAH_S_PD_M_PD,"NUDYA KUNTUM KHOIREL ABIDAH, S.Pd., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_NURILA_SHANTI_OCTAVIA_S_S_MTCSOL,"NURILA SHANTI OCTAVIA, S.S., MTCSOL.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_NURUL_LAILI_NADHIFAH_S_S_M_HUM,"NURUL LAILI NADHIFAH, S.S., M.Hum.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_NUR_IKSAN_S_SN_MSN,"NUR IKSAN, S.Sn., MSn.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_PUTRIE_RAHAYUNINGTYAS_BTCFL_MTCSOL,"PUTRIE RAHAYUNINGTYAS, BTCFL., MTCSOL.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_PUTRI_KUMALA_DEWI_S_PD_M_PD,"PUTRI KUMALA DEWI, S.Pd., M.Pd.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_RESSI_MAULIDINA_DELIJAR_S_S_M_LI,"RESSI MAULIDINA DELIJAR, S.S., M.Li.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_RETNO_DEWI_AMBARASTUTI_S_S_M_SI,"RETNO DEWI AMBARASTUTI, S.S., M.Si.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_RIKE_FEBRIYANTI_S_PD_M_A,"RIKE FEBRIYANTI, S.Pd., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_RIZKI_NUFIARNI_S_S_M_A,"RIZKI NUFIARNI, S.S., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_ROMY_SETIAWAN_S_PD_MSN,"ROMY SETIAWAN, S.Pd., MSn.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_ROSANA_HARIYANTI_S_S_M_A,"ROSANA HARIYANTI, S.S., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_ROSTA_NAZIAH_HASANI_S_S_M_A,"ROSTA NAZIAH HASANI, S.S., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
FIB_SANTI_ANDAYANI_S_S_M_A,"SANTI ANDAYANI, S.S., M.A.",FIB,,,2026-03,0,0,0,0,0,IMPORTED,
